,text,embeddings,distances
27,"In 2019, Haley created a new policy group called Stand for America, a group that promotes public policies aimed at strengthening the economy, culture, and national security issues. Several billionaires and hedge fund managers have made large donations to the group.In February 2019, it was announced that Haley had been nominated to the board of directors of Boeing. She was elected at the annual shareholder meeting on April 29. Critics have alleged that the position at Boeing may have been offered to Haley due to favorable official actions she took with regard to Boeing while in office in South Carolina. Boeing board members earn ""a minimum annual compensation of $315,000 as of 2017, the most recent figures available in a regulatory filing."" On March 19, 2020, Haley stepped down from the board of directors stating her disagreement with the board over a government bailout during the global coronavirus crisis.","[-0.02054871 -0.02536712  0.00260214 ... -0.00790542 -0.01309293
  0.00041859]",0.19910717375293296
37,"In September 1996, Nikki Randhawa married Michael Haley. They celebrated with both Sikh and Methodist ceremonies. The couple have two children, a daughter and a son.Haley converted to Christianity in 1997. She and her husband regularly attend the United Methodist Church. She also attends Sikh services once or twice a year. She visited the Harmandir Sahib with her husband in 2014 during her visit to India. During a Christianity Today interview, when asked whether or not she hopes her parents convert to Christianity, Haley responded, ""What I hope is that my parents do what's right for them.""Her husband is an officer in the South Carolina Army National Guard. During her gubernatorial term, he was sent in January 2013 on a year-long deployment to Afghanistan.Haley and her family reside in Kiawah Island, South Carolina near the city of Charleston.","[-0.00607867 -0.01955174 -0.00892065 ... -0.00866408  0.00612472
  0.00867066]",0.20198617514718253
30,"Haley received extensive press coverage for saying the phrase ""bless your heart"" in response to an attack by then-presidential candidate Donald Trump. Trump had attacked her on Twitter after her call for him to release his tax records.","[-0.05085265 -0.00673126  0.01660205 ... -0.0104328   0.00411175
 -0.02914725]",0.20264470775905263
16,"In April 2016, Haley indicated she would not support legislation introduced by the South Carolina State Senate that would require transgender individuals to use restrooms based on their gender assigned at birth. Haley stated:","[-0.01641234  0.00272147  0.01456161 ...  0.00396492 -0.00952995
 -0.00112297]",0.20608918436226809
24,"Also in April 2017, Haley spoke out against Ramzan Kadyrov and the abuse and murder of gay men in Chechnya. She stated that ""We continue to be disturbed by reports of kidnapping, torture, and murder of people in Chechnya based on their sexual orientation ... this violation of human rights cannot be ignored"".In a May 2017 interview, Haley expressed interest in moving the U.S. embassy to Israel from Tel Aviv to Jerusalem. On June 7, Haley charged the U.N. with having ""bullied Israel for a very long time"" and pledged the US would end this treatment while in Jerusalem. Israel occupied the Jordan-controlled East Jerusalem during the Six-Day War in 1967 and formally annexed it in 1980. The Jerusalem Law declared Jerusalem to be Israel's ""undivided capital"".In July 2017, after the UNESCO voted to designate the Hebron's Old City and the Cave of the Patriarchs as Palestinian territory as well as endangered world heritage sites, Haley called the choice ""tragic on several levels"" in a statement (see Israeli–Palestinian conflict in Hebron).In September 2017, Haley stated that ""some countries"" (a reference to Russia, although Haley did not refer to Russia by name) were shielding Iran by blocking the International Atomic Energy Agency from verifying Iranian compliance with the international nuclear agreement with Iran. Haley said that it ""appears that some countries are attempting to shield Iran from even more inspections. Without inspections, the Iran deal is an empty promise.""In September 2017, Haley said that her government was ""deeply troubled"" by reports of atrocities against Rohingya Muslims in Myanmar. Haley criticized Myanmar's civilian leader Aung San Suu Kyi for ""justifying the imprisonment of the two Reuters reporters who reported on the ethnic cleansing.""","[-0.02329349 -0.01094742  0.00361101 ...  0.00806514  0.01157485
 -0.00398682]",0.20683066777308234
10,"News media reported that Scott, Representative Trey Gowdy, former South Carolina attorney general Henry McMaster, former First Lady of South Carolina Jenny Sanford, and South Carolina Department of Health and Environmental Control Director Catherine Templeton were on Haley's short list to replace DeMint. Of choosing Scott, Haley said, ""It is important to me, as a minority female, that Congressman Scott earned this seat, he earned this seat for the person that he is. He earned this seat with the results he has shown.""In July 2013, Haley was fined $3,500 by the State Ethics Commission and given a ""public warning"" for failing to report the addresses of eight donors during her 2010 campaign for governor.In August 2013, Haley signed an extradition order for Dusten Brown to be brought to South Carolina in the Adoptive Couple v. Baby Girl case.","[-0.02632523  0.00113572  0.018775   ... -0.00945455 -0.0265398
  0.00258659]",0.20939761393095113
33,"In February 2021 Haley stated: Most of Mr. Trump's major policies were outstanding and made America stronger, safer and more prosperous. Many of his actions since the election were wrong and will be judged harshly by history...I will gladly defend the bulk of the Trump record and his determination to shake up the corrupt status quo in Washington.","[-0.03581171 -0.02709865  0.00044813 ... -0.02125105  0.01058663
  0.01084594]",0.2113268680385002
23,"On February 2, 2017, Haley declared to the U.N. Security Council that sanctions against Russia for its Crimean conflict would not be lifted until Russia returned control over the region to Ukraine. On June 4, Haley reported the United States would retain ""sanctions strong and tough when it comes to the issue in Ukraine"".On March 15, 2017, Haley said she would not support a ban on Muslim immigration to the United States should President Trump choose to enact one. Haley said she did not believe ""we should ever ban anyone based on their religion"" and that a Muslim ban would be ""un-American"".On March 30, 2017, Haley stated that the U.S. would no longer focus on forcing Syrian president Bashar al-Assad to leave power. This was a policy shift from former president Barack Obama's initial stance on Assad. On April 5, speaking to the U.N. Security Council a day after the Khan Shaykhun chemical attack, Haley said Russia, Assad, and Iran ""have no interest in peace"" and attacks similar to this would continue occurring should nothing be done in response. A day later, the U.S. launched 59 Tomahawk cruise missiles toward the Shayrat Air Base in Syria. Haley called the strike a ""very measured step"" and warned that the U.S. was prepared ""to do more"" despite wishing it would not be required. On April 12, after Russia blocked a draft resolution meant to condemn the Khan Shaykhun chemical attack, Haley criticized Russia, saying ""We need to see Russia choose to side with the civilized world over an Assad government that brutally terrorizes its own people."" June 28, while appearing before the United States House Committee on Foreign Affairs, Haley credited President Trump's warning to Syria with stopping another chemical attack: ""I can tell you due to the president's actions, we did not see an incident.""In April 2017, while holding her first session as president of the UN Security Council, Haley charged Iran and Hezbollah with having ""conducted terrorist acts"" for decades within the Middle East.Haley said the U.S. military could be deployed in response to any further North Korean missile tests or usage of nuclear missiles and that she believed Kim Jong-un understood this due to pressure by both the U.S. and China. On May 14, 2017, after North Korea performed a ballistic missile test, Haley said Kim was ""in a state of paranoia"" after feeling pressure from the U.S. On June 2, 2017, after the U.N. Security Council approved a resolution adding fifteen North Koreans and four entities linked to North Korea's nuclear and missile programs to a sanctions blacklist, Haley said the council's vote was ""sending a clear message to North Korea today: Stop firing ballistic missiles or face the consequences"". On July 5, 2017, during a U.N. Security Council meeting, in response to North Korea launching an intercontinental ballistic missile, Haley announced the US would within days ""bring before the Security Council a resolution that raises the international response in a way that is proportionate to North Korea's new escalation"". The following month the U.N. Security Council unanimously approved sanctions on North Korea banning exports worth over $1 billion. Haley said that the sanctions package was ""the single largest ... ever leveled against the North Korean regime"".","[-0.01323541 -0.00544195  0.01181006 ...  0.0002845   0.00973443
  0.00133586]",0.2130094626228216
9,"Haley began serving as governor of South Carolina in January 2011. In 2012, former governor Mitt Romney considered her for his vice-presidential running mate. In April 2012, Haley said that she would turn down any potential vice presidential offer: ""I'd say thank you, but no, I made a promise to the people of this state. And I think that promise matters. And I intend to keep it.""During her second term, Haley feuded with veteran lawmakers in the General Assembly. She endorsed powerful senate finance chairman Hugh Leatherman's primary opponent in 2016. After winning the primary, Leatherman stated that Haley was not just a lame duck, but a ""dead duck."" Her second term as governor was set to expire on January 9, 2019; however, Haley resigned her position on January 24, 2017, to serve as U.S. ambassador to the United Nations.Haley delivered the official Republican response to President Barack Obama's 2016 State of the Union Address on January 12, 2016.In 2016, Haley was named by Time magazine as one of the 100 most influential people in the world.Haley was mentioned in January 2016 as a potential candidate for the vice presidency in the 2016 U.S. presidential election. The Economist described Haley as a politician with high approval ratings who possesses a combination of ""fiscal ferocity and a capacity for conciliation,"" and stated as a female candidate and ethnic minority she would have appeal. On May 4, 2016, after Trump became the presumptive presidential nominee, Haley denied interest in the vice presidential nomination.Four lieutenant governors served under Haley. Haley, a Republican, welcomed Yancey McGill, a Democrat, to serve as her lieutenant governor after Glenn F. McConnell's resignation. Haley was initially against having a Democrat serve as the second-in-command to the governor, but she, along with the Senate, eventually agreed otherwise.On December 17, 2012, Haley announced she would appoint Tim Scott to replace retiring Senator Jim DeMint, who had previously announced that he would retire from the Senate to become the president of the Heritage Foundation. Following his appointment, Scott became the first African American U.S. senator from South Carolina.","[-0.04009013 -0.02134871  0.00331073 ... -0.01388828  0.00036746
  0.0127008 ]",0.21349748105226085
8,"On August 12, 2013, Haley announced she would seek a second term as governor. She faced a challenge in the Republican primary from Tom Ervin. However, Ervin withdrew and later re-entered the 2014 gubernatorial campaign as an independent.As in 2010, Vincent Sheheen of the Democratic Party ran against Haley. Republican-turned-Independent Tom Ervin was also running in the early stages of the contest, as were Libertarian Steve French and United Citizens Party candidate Morgan Bruce Reeves.The first public debate was held in Charleston on October 14 between French, Ervin, Haley, Reeves, and Sheheen. The second public debate in Greenville on October 21 again included all five candidates. A week after the second debate, Ervin withdrew from the race and endorsed Sheheen.Haley was re-elected on November 4, 2014, with a 55.9 percent to 41.3 percent win, almost tripling her margin of victory over Sheheen in the 2010 gubernatorial election.","[-0.01812775  0.00062396 -0.00288008 ... -0.01155316 -0.00497528
  0.01173706]",0.21377210333767527
7,"On May 14, 2009, Haley announced that she would run for the Republican nomination for governor of South Carolina in the 2010 elections. Haley had been persuaded to run by incumbent governor and fellow Republican Mark Sanford. On November 11, 2009, she was endorsed by former Massachusetts governor and GOP presidential candidate Mitt Romney, as well as Jenny Sanford, the incumbent first lady of South Carolina. Haley has old ties to the Chicago businessman and the Republican Hindu Coalition founder Shalabh ""Shalli"" Kumar. Kumar reminisced in a 2016 interview, ""Her father Ajit Singh Randhawa approached me in the summer of 2010 to support his daughter's campaign to run for governor of South Carolina."" He became her largest donor. She was polling in last place in the GOP race before a surprise endorsement from former Alaska governor Sarah Palin, three weeks before the primary vote.The Republican gubernatorial primary took place on June 8, 2010, and Haley captured 49% of the vote, forcing a runoff election on June 22. Haley won handily in the runoff vote.Haley was elected governor on November 2, 2010, defeating the Democratic candidate, Vincent Sheheen 51% to 47%. She is considered the third non-white governor elected by a Southern state, after Virginia's Douglas Wilder and Louisiana's Bobby Jindal.","[-0.02801077 -0.01093729 -0.00422344 ... -0.00886409 -0.01345338
  0.01829301]",0.21406967851448355
13,"Before June 2015, Haley supported flying the Confederate flag on the statehouse grounds. In the immediate aftermath of the Charleston church shooting, Haley did not take a position on removing the flag, saying, ""I think the state will start talking about that again, and we'll see where it goes."" On June 22, Haley called for the removal of the Confederate flag from the statehouse grounds. She stated:","[-3.08615137e-02  1.02415951e-02  1.53737864e-03 ... -9.68491586e-05
  1.90768426e-03 -1.30347572e-02]",0.21432326302066496
20,"During her 2011–2017 gubernatorial term, Haley vetoed 50 bills, 24 (48%) of which were overridden by the state legislature.","[-0.02898838  0.00165262  0.00609283 ... -0.00212686  0.01243002
 -0.0095942 ]",0.21447803333915838
22,"Haley was sworn in by Vice President Mike Pence on January 25, 2017. She met with United Nations secretary-general António Guterres on January 27, 2017, at the UN Headquarters in New York City. She replaced Ambassador Samantha Power.","[-0.0259438  -0.02360524 -0.01426392 ... -0.02423833  0.01048476
  0.01900564]",0.21521785416591088
25,"In October 2017, the federal Office of Special Counsel determined that Haley had violated the federal Hatch Act in June 2017 by re-tweeting Trump's endorsement of Ralph Norman, a Republican candidate for Congress in South Carolina. Haley deleted the re-tweet after a complaint was filed by the government watchdog group Citizens for Responsibility and Ethics in Washington. The Office of Special Counsel issued a reprimand by letter but did not recommend any further action be taken against Haley. The special counsel's letter warned Haley that any future violation could be considered ""a willful and knowing violation of the law"".In October 2017, the U.S., along with 13 other nations, voted against a U.N. resolution titled ""The Question of the Death Penalty"", which condemned the use of capital punishment when ""applied arbitrarily or in a discriminatory manner"" and specifically condemned ""the imposition of the death penalty as a sanction for specific forms of conduct, such as apostasy, blasphemy, adultery and consensual same-sex relations."" LGBTQ rights advocates in the U.S., including the Human Rights Campaign, were critical of the vote. After the vote, a State Department spokeswoman announced that ""We voted against that resolution because of broader concerns with the resolution's approach in condemning the death penalty in all circumstances ... The United States unequivocally condemns the application of the death penalty for conduct such as homosexuality, blasphemy, adultery, and apostasy. We do not consider such conduct appropriate for criminalization.""","[-0.02395098  0.00385228  0.0111252  ...  0.0095025   0.01482494
  0.00338494]",0.21657990136642402
2,"Haley was born Nimarata Nikki Randhawa on January 20, 1972, at Bamberg County Hospital in Bamberg, South Carolina, to immigrant Sikh parents from Punjab, India. Her father, Ajit Singh Randhawa, and her mother, Raj Kaur Randhawa, immigrated to the United States from Amritsar District, Punjab, India. Her father had been a professor at Punjab Agricultural University, and her mother received her law degree from the University of Delhi. Haley has been known by her middle name, Nikki, a Punjabi name meaning ""little one"", since her earliest years.Haley's parents moved to Canada after her father received a scholarship offer from the University of British Columbia. When her father received his PhD in 1969, he moved his family to South Carolina to be a professor at Voorhees College, a historically black institution.Her mother, Raj Randhawa, earned a master's degree in education and taught for seven years in Bamberg public schools. In 1976 she started a popular clothing boutique, Exotica International. It closed in 2008.Haley has a sister and two brothers. Her sister, Simran, born in Canada, became a radio host and Fashion Institute of Technology alumna. Her brother, Mitti, retired as a member of the United States Army Chemical Corps having served in Desert Storm; her second brother, Charan, is a web designer.At age 12, Haley began helping with the bookkeeping in her mother's ladies' clothing shop, Exotica International. In 1989, she graduated from the private Orangeburg Preparatory Schools.  She graduated from Clemson University in 1994 with a bachelor's degree in accounting.","[-0.01122629 -0.01259962 -0.00280981 ...  0.00452809 -0.01323446
 -0.01164736]",0.21785048686610253
32,"Since her resignation as UN ambassador in 2018, she has remained supportive of Trump and his administration describing him as a ""friend"". She has stated that she was ""proud of the successes of the administration"" and ""I'm not going to apologize"" for working with Trump. She defended Trump since his election loss against Joe Biden saying, ""I understand the president. I understand that genuinely, to his core, he believes he was wronged, this is not him making it up.""She described Trump's actions around the 2021 storming of the United States Capitol as ""not his finest"", but opposed Trump's second impeachment, criticizing Democrats and journalists on Fox News's The Ingraham Angle with Laura Ingraham. In that January 25 television interview, she also declared that she would vote against impeachment, and that ""They will bring about impeachment, yet they say they are for unity. They beat him up before he got into office. They are beating him up after he leaves office. At some point, give the man a break. I mean, move on"". However, in an interview given on January 12, 2021, but published a month later, while Trump's second impeachment trial was underway on charges he had incited the January 2021 storming of the Capitol, Haley said, ""We need to acknowledge he let us down. He went down a path he shouldn't have, and we shouldn't have followed him, and we shouldn't have listened to him. And we can't let that ever happen again."" According to Politico in February 2021, Haley reportedly reached out to former President Trump to request a sit-down meeting at Mar-a-Lago. Trump reportedly declined the request.When asked whether Trump is a friend, she stated that ""Friend is a loose term."" She has been critical of Trump's role during the 2021 storming of the United States Capitol, saying that she was angry that Donald Trump took no action to protect Vice President Pence, adding, ""When I tell you I'm angry, it's an understatement.""","[-0.03626837 -0.01740202  0.01037453 ... -0.0270117   0.01233569
  0.00172909]",0.21838336346228926
18,"Haley described such restroom legislation as unnecessary.In 2021, Haley spoke against Executive Order 13988, officially titled Preventing and Combating Discrimination on the Basis of Gender Identity or Sexual Orientation.","[-0.02086954  0.01038848 -0.0003482  ... -0.01658454  0.00445693
 -0.00849065]",0.2188758391137654
4,"In 2004, Haley ran for the South Carolina House of Representatives to represent District 87 in Lexington County. She challenged incumbent state representative Larry Koon in the Republican primary. He was the longest-serving legislator in the South Carolina Statehouse. Her platform included property tax relief and education reform.In the primary election, she forced a runoff as Koon did not win a majority but rather 42% of the vote, while she placed second with 40% of the vote. In the runoff, she defeated him 55–45%. She ran unopposed in the general election.Haley became the first Indian-American to hold office in South Carolina. She was unopposed for re-election to a second term in 2006. In 2008, she won re-election to a third term, defeating Democrat Edgar Gomez 83–17%.","[-0.02371774  0.00951856  0.00709303 ...  0.00497561 -0.0170967
  0.00690948]",0.21900386208042766
26,"Egypt sponsored a Security Council resolution voiding any unilateral decisions on Jerusalem's status. The resolution further demanded that countries ""refrain from the establishment of diplomatic missions in the holy city."" In December 2017, Haley warned UN members that she would be ""taking names"" of countries that voted to reject President Trump's decision to recognize Jerusalem as the capital of Israel and move the U.S. embassy there from Tel Aviv. In a letter, Haley wrote: ""As you consider your vote, I encourage you to know the president and the US take this vote personally. The president will be watching this vote carefully and has requested I report back on those who voted against us."" The resolution still passed by an overwhelming margin: 128 in favour, 35 abstaining and only nine against. Haley even travelled to some countries that voted ""No,"" such as Guatemala and Honduras, and thanked them for their support in the emergency special session.Also in December 2017, Haley accused Iran of backing the Houthi rebels in Yemen. The Houthis were fighting the Saudi-backed Hadi government. She said that the ""fight against Iranian aggression is the world's fight."" Iranian U.N. mission spokesman Alireza Miryusefi said in response that ""These accusations seek also to cover up for the Saudi war crimes in Yemen, with the US complicity, and divert attention from the stalemate war of aggression against the Yemenis."" Iran likened Haley's presentation to that of then-Secretary of State Colin Powell, before the 2003 invasion of Iraq. Haley also said that ""It's hard to find a conflict or terrorist group in the Middle East that doesn't have Iran's fingerprints all over it"", but she did not mention the U.S. role in Saudi-led intervention in Yemen and Saudi-led coalition's blockade of Yemen.In December 2017, Haley said that the women who had accused President Trump of touching or groping them without their consent ""should be heard.""In January 2018, she supported President Trump's withholding aid to Palestinians through the U.N. Relief and Works Agency (UNRWA).In April 2018, she failed to disclose to both President Trump and the American people that several US Military members deployed in support of the United Nations Multidimensional Integrated Stabilization Mission in Mali (MINUSMA) were wounded in a large complex attack in Timbuktu.On 19 June 2018, Haley and U.S. Secretary of State Mike Pompeo announced that the U.S. was pulling out of the United Nations Human Rights Council, accusing the council of being ""hypocritical and self-serving""; in the past, Haley had accused it of ""chronic anti-Israel bias"". ""When the Human Rights Council treats Israel worse than North Korea, Iran, and Syria, it is the Council itself that is foolish and unworthy of its name. It is time for the countries who know better to demand changes,"" Haley said in a statement at the time, pointing to the council's adoption of five resolutions condemning Israel.On October 9, 2018, she tendered her resignation as the U.N. ambassador, which President Donald Trump accepted. Haley's resignation emerged a day after an anti-corruption watchdog accused her of accepting seven luxury private plane trips as gifts from South Carolina business leaders. The watchdog group, Citizens for Responsibility and Ethics in Washington (CREW), was the first to break this story after requesting an Inspector General investigation. Haley listed these seven flights as gifts on a 2018 financial disclosure, claiming that they are exempt from ethics violations as they were gifted by personal contacts. A spokesperson for CREW said they have no reason to believe that this was related to her resignation as ambassador.In October 2018, Haley raised the issue of China's re-education camps and human rights abuses against the Uyghur Muslim minority. She said that ""At least a million Uighurs and other Muslim minorities have been imprisoned in so-called 're-education camps' in western China,"" and detainees are ""tortured … forced to renounce their religion and to pledge allegiance to the Communist Party.""Haley left her position as U.N. ambassador on December 31, 2018. She was succeeded as U.S. Ambassador to the UN by Ambassador Kelly Craft.","[-0.01291587 -0.00871432  0.006834   ... -0.00757316  0.00965448
 -0.0071971 ]",0.22082896769290128
